year,id_,age,educ,sex,race,rincome,ballot,rheight
2022,301,60,4 years of college,FEMALE,White,.i:  Inapplicable,Ballot c,63
2022,302,63,3 years of college,MALE,Other,.i:  Inapplicable,Ballot b,-100
2022,303,78,5 years of college,FEMALE,White,.i:  Inapplicable,Ballot b,-100
2022,304,23,12th grade,MALE,White,$25000 OR MORE,Ballot a,-100
2022,305,60,1 year of college,FEMALE,White,.i:  Inapplicable,Ballot c,67
2022,306,26,12th grade,FEMALE,White,$15000 - 19999,Ballot b,-100
2022,307,54,6th grade,MALE,Other,.i:  Inapplicable,Ballot a,-100
2022,308,83,12th grade,FEMALE,White,.i:  Inapplicable,Ballot c,63
2022,309,65,4 years of college,MALE,White,.i:  Inapplicable,Ballot a,-100
2022,310,39,12th grade,MALE,White,$25000 OR MORE,Ballot c,68
2022,311,68,12th grade,FEMALE,Other,$25000 OR MORE,Ballot b,-100
2022,312,66,5 years of college,FEMALE,Black,.i:  Inapplicable,Ballot c,66
2022,313,75,4 years of college,MALE,Black,.i:  Inapplicable,Ballot c,70
2022,314,36,4 years of college,MALE,Other,$25000 OR MORE,Ballot c,68
2022,315,64,9th grade,MALE,Other,.i:  Inapplicable,Ballot b,-100
2022,316,89 or older,11th grade,MALE,White,.i:  Inapplicable,Ballot c,71
2022,317,.n:  No answer,12th grade,MALE,White,$25000 OR MORE,Ballot a,-100
2022,318,73,4 years of college,MALE,White,.i:  Inapplicable,Ballot a,-100
2022,319,56,12th grade,MALE,Black,$25000 OR MORE,Ballot b,-100
2022,320,33,4 years of college,MALE,.i:  Inapplicable,.r:  Refused,Ballot a,-100
2022,321,23,4 years of college,MALE,Other,$25000 OR MORE,Ballot a,-100
2022,322,54,2 years of college,MALE,White,.i:  Inapplicable,Ballot c,65
2022,323,22,12th grade,FEMALE,Black,.i:  Inapplicable,Ballot c,68
2022,324,22,12th grade,MALE,White,$25000 OR MORE,Ballot a,-100
2022,325,30,12th grade,FEMALE,Other,$25000 OR MORE,Ballot c,67
