kinderage,ses,books,wicFk,black,hispanic,asian,other,female,wic,teenmom,thirtymom,bweight,zmathFk,zreadFk,zmath8,zread8
66,-0.03,100,1,0,0,0,0,0,1,0,0,136,1.577455759048462,-0.021169841289520264,0.4675503075122833,-0.05507916584610939
62,0.31,100,0,0,0,0,0,1,0,0,0,120,-0.442328542470932,-0.4281163811683655,1.128287434577942,0.8395453691482544
64,1.53,200,0,0,0,0,0,0,0,0,0,118,1.6856001615524292,-0.34112071990966797,0.1075688973069191,0.8365981578826904
61,-0.59,100,1,0,0,0,0,1,1,0,0,109,-0.5067781805992126,-0.38655173778533936,-3.1290252208709717,-1.8362220525741577
65,0.61,200,0,0,0,0,0,0,0,0,0,108,3.1996192932128906,1.897567868232727,1.1616019010543823,0.9231863021850586
63,-0.64,200,0,0,0,0,0,1,0,0,0,126,-0.06546244770288467,0.03392738848924637,-0.17467835545539856,0.7352712750434875
60,0.43,30,0,0,0,0,0,0,0,1,0,147,1.2246216535568237,0.3925428092479706,-0.20521679520606995,1.09820556640625
64,0.85,150,0,0,1,0,0,0,0,0,1,120,1.1383249759674072,0.7501917481422424,0.6836323142051697,-0.09892561286687851
60,-0.82,60,1,1,0,0,0,1,1,0,0,123,-0.5854284167289734,-0.06273446977138519,-0.2436210662126541,-2.3163273334503174
77,-1.05,25,1,1,0,0,0,0,1,1,0,120,-0.456529438495636,-1.0709177255630493,-2.4155402183532715,-2.8402795791625977
64,-0.06,45,1,0,0,0,0,0,1,0,0,69,1.3207498788833618,0.3906095325946808,0.8899966478347778,0.815963864326477
62,-0.03,200,0,0,0,0,0,1,0,0,0,136,-0.08949442207813263,0.18181991577148438,-2.00651216506958,0.17594636976718903
67,0.25,200,0,0,0,0,0,0,0,0,0,122,3.9194884300231934,0.4389404356479645,1.2721874713897705,1.2931219339370728
70,0.22,50,0,0,0,0,0,0,0,0,0,143,0.6893625855445862,0.7830567955970764,-1.2143677473068237,-0.26989230513572693
69,0.26,25,0,1,0,0,0,1,0,0,0,99,0.41080915927886963,1.6936113834381104,-0.42638784646987915,0.5676211714744568
67,0,40,0,0,0,0,0,0,0,0,0,121,0.10603917390108109,-0.32758814096450806,-0.3902972340583801,-1.167832851409912
66,0.65,150,0,0,0,0,0,0,0,0,0,130,3.402799367904663,1.0111788511276245,1.1597514152526855,0.956348180770874
67,-0.58,100,1,0,0,0,0,0,1,0,0,100,3.065258502960205,0.512403666973114,-0.542525589466095,0.6269434690475464
71,-0.06,60,0,0,0,0,0,1,0,0,0,107,1.6178735494613647,0.5143365859985352,1.228694200515747,1.0337247848510742
61,1.39,30,0,1,0,0,0,1,0,0,1,95,-0.21620884537696838,-0.9326913952827454,-2.3262388706207275,-0.8539034724235535
